fecha,hora,temperatura,humedad,prediccion,modo
2026-06-05 10:13:27,10,8.62,75.0,0.47271957993507385,automatico
2026-06-05 10:13:30,10,9.86,65.0,0.47271957993507385,automatico
2026-06-05 10:13:32,10,10.37,48.0,0.47271957993507385,automatico
2026-06-05 10:13:35,10,9.35,60.0,0.47271957993507385,automatico
2026-06-05 10:13:37,10,5.42,45.0,0.47271957993507385,automatico
2026-06-05 10:13:39,10,8.61,65.0,0.47271957993507385,automatico
2026-06-05 10:13:42,10,8.95,72.0,0.47271957993507385,automatico
2026-06-05 10:13:45,10,8.1,53.0,0.47271957993507385,automatico
2026-06-05 10:13:45,10,9.43,44.0,0.47271957993507385,automatico
2026-06-05 10:13:46,10,11.03,75.0,0.47271957993507385,automatico
2026-06-05 10:13:57,10,5.02,55.0,0.47271957993507385,automatico
2026-06-05 10:14:07,12,8.0,60,0.47271957993507385,manual
2026-06-05 10:14:17,12,8.0,60,0.47271957993507385,manual
2026-06-05 10:14:24,10,8.57,52.0,0.47271957993507385,automatico
2026-06-05 10:14:26,10,11.52,79.0,0.47271957993507385,automatico
2026-06-05 10:14:29,10,8.06,69.0,0.47271957993507385,automatico
2026-06-05 10:14:33,10,10.06,60.0,0.47271957993507385,automatico
2026-06-05 10:14:36,10,7.72,71.0,0.47271957993507385,automatico
2026-06-05 10:14:40,10,7.44,78.0,0.47271957993507385,automatico
2026-06-05 10:14:44,10,8.91,75.0,0.47271957993507385,automatico
2026-06-05 10:14:48,10,6.33,66.0,0.47271957993507385,automatico
2026-06-05 10:14:51,10,11.05,74.0,0.47271957993507385,automatico
2026-06-05 10:14:55,10,11.27,57.0,0.49062302708625793,automatico
2026-06-05 10:14:59,10,9.83,50.0,0.47271957993507385,automatico
2026-06-05 10:15:57,10,9.78,45.0,0.47271957993507385,automatico
2026-06-05 10:15:59,10,7.97,60.0,0.47271957993507385,automatico
2026-06-05 10:16:02,10,5.6,56.0,0.47271957993507385,automatico
2026-06-05 10:16:04,10,11.13,56.0,0.48728811740875244,automatico
2026-06-05 10:16:07,10,11.78,66.0,0.47806811332702637,automatico
2026-06-05 10:16:10,10,11.3,71.0,0.47271957993507385,automatico
2026-06-05 10:16:12,10,6.29,50.0,0.47271957993507385,automatico
2026-06-05 10:16:15,10,5.19,70.0,0.47271957993507385,automatico
2026-06-05 10:16:17,10,6.87,79.0,0.47271957993507385,automatico
2026-06-05 10:16:20,10,5.77,40.0,0.47271957993507385,automatico
2026-06-05 10:16:22,10,8.68,47.0,0.47271957993507385,automatico
2026-06-05 10:16:25,10,7.67,69.0,0.47271957993507385,automatico
2026-06-05 10:16:28,10,7.75,55.0,0.47271957993507385,automatico
2026-06-05 10:16:31,10,6.59,47.0,0.47271957993507385,automatico
2026-06-05 10:16:33,10,5.12,60.0,0.47271957993507385,automatico
2026-06-05 10:16:36,10,7.89,66.0,0.47271957993507385,automatico
2026-06-05 10:16:39,10,10.42,44.0,0.47271957993507385,automatico
2026-06-05 10:16:42,10,8.85,74.0,0.47271957993507385,automatico
2026-06-05 10:16:44,10,5.79,51.0,0.47271957993507385,automatico
2026-06-05 10:16:47,10,9.43,61.0,0.47271957993507385,automatico
2026-06-05 10:16:49,10,9.73,56.0,0.47271957993507385,automatico
2026-06-05 10:16:52,10,9.16,69.0,0.47271957993507385,automatico
2026-06-05 10:16:54,10,5.1,43.0,0.47271957993507385,automatico
2026-06-05 10:16:57,10,9.09,40.0,0.47271957993507385,automatico
2026-06-05 10:16:59,10,11.43,74.0,0.47271957993507385,automatico
2026-06-05 10:17:01,10,9.67,59.0,0.47271957993507385,automatico
2026-06-05 10:17:03,10,5.72,67.0,0.47271957993507385,automatico
2026-06-05 10:17:05,10,9.64,58.0,0.47271957993507385,automatico
2026-06-05 10:17:08,10,9.52,66.0,0.47271957993507385,automatico
2026-06-05 10:17:10,10,6.17,74.0,0.47271957993507385,automatico
2026-06-05 10:17:12,10,6.37,50.0,0.47271957993507385,automatico
