fecha,hora,temperatura,humedad,prediccion
2026-06-05 09:26:38,9,11.1277549282606,72,0.47271957993507385
2026-06-05 09:26:39,9,11.625810947916865,40,0.477374792098999
2026-06-05 09:26:40,9,6.672505514194134,43,0.47271957993507385
2026-06-05 09:26:41,9,10.60502340111589,75,0.47271957993507385
2026-06-05 09:26:42,9,5.075860555370897,42,0.47271957993507385
2026-06-05 09:26:43,9,7.76226276051689,48,0.47271957993507385
2026-06-05 09:26:44,9,8.915355869189295,40,0.47271957993507385
2026-06-05 09:26:45,9,7.245050805895598,71,0.47271957993507385
2026-06-05 09:26:46,9,11.790974727384475,43,0.4849131107330322
2026-06-05 09:26:47,9,5.981095767851166,69,0.47271957993507385
2026-06-05 09:26:49,9,11.970795464420922,52,0.5045077800750732
2026-06-05 09:26:50,9,5.329705905917065,63,0.47271957993507385
2026-06-05 09:26:51,9,5.9391468372752945,45,0.47271957993507385
2026-06-05 09:26:52,9,5.832734335395598,49,0.47271957993507385
2026-06-05 09:26:53,9,8.091093006937095,71,0.47271957993507385
2026-06-05 09:26:54,9,7.7925915084322135,43,0.47271957993507385
2026-06-05 09:26:55,9,9.295734696964644,53,0.47271957993507385
2026-06-05 09:26:56,9,11.899033957166619,44,0.48793917894363403
2026-06-05 09:26:57,9,5.00880339790262,66,0.47271957993507385
2026-06-05 09:26:58,9,10.874865895014878,41,0.47271957993507385
2026-06-05 09:26:59,9,6.708058323136107,78,0.47271957993507385
2026-06-05 09:27:00,9,11.879585454973896,69,0.4749331772327423
2026-06-05 09:27:01,9,11.709885611094599,66,0.480491578578949
2026-06-05 09:27:02,9,10.18875191822591,54,0.4812110960483551
2026-06-05 09:27:03,9,10.030094149159943,45,0.47271957993507385
2026-06-05 09:27:04,9,9.783965143522494,61,0.47271957993507385
2026-06-05 09:27:05,9,9.86449874546605,43,0.47271957993507385
2026-06-05 09:27:06,9,11.48359484869345,52,0.4998033046722412
2026-06-05 09:27:07,9,7.781571137761413,73,0.47271957993507385
2026-06-05 09:27:08,9,8.333281211421962,66,0.47271957993507385
2026-06-05 09:27:09,9,8.70100419327879,66,0.47271957993507385
2026-06-05 09:27:10,9,5.705722076813893,49,0.47271957993507385
2026-06-05 09:27:11,9,5.797258457872505,41,0.47271957993507385
2026-06-05 09:27:12,9,8.337919143252222,50,0.47271957993507385
2026-06-05 09:27:13,9,6.359515299283499,49,0.47271957993507385
2026-06-05 09:27:14,9,8.540517653498664,49,0.47271957993507385
2026-06-05 09:27:15,9,10.731758124017482,51,0.49055930972099304
2026-06-05 09:27:16,9,10.85883508367097,58,0.48506176471710205
2026-06-05 09:27:17,9,11.042661566931852,51,0.4935608506202698
2026-06-05 09:27:18,9,11.925434582089924,62,0.49930045008659363
2026-06-05 09:27:19,9,6.688558554793161,64,0.47271957993507385
2026-06-05 09:27:20,9,6.478936763642473,76,0.47271957993507385
2026-06-05 09:27:21,9,5.18097661681789,63,0.47271957993507385
2026-06-05 09:27:22,9,11.820780550987001,65,0.4866597056388855
2026-06-05 09:27:23,9,6.166899927087059,68,0.47271957993507385
2026-06-05 09:27:24,9,7.041811367265523,76,0.47271957993507385
2026-06-05 09:27:25,9,9.469322461228488,46,0.47271957993507385
2026-06-05 09:27:26,9,5.955837416396442,77,0.47271957993507385
2026-06-05 09:27:27,9,10.745540181522994,41,0.47271957993507385
2026-06-05 09:27:28,9,7.2931095286629395,58,0.47271957993507385
2026-06-05 09:27:29,9,8.646577643971995,44,0.47271957993507385
2026-06-05 09:27:30,9,5.364859893733465,55,0.47271957993507385
2026-06-05 09:27:31,9,10.084747982599898,46,0.4744087755680084
2026-06-05 09:27:32,9,7.33346306013617,72,0.47271957993507385
2026-06-05 09:27:33,9,5.778447229007806,56,0.47271957993507385
2026-06-05 09:27:34,9,10.916930057435644,60,0.4799359142780304
2026-06-05 09:39:07,9,5.65,78,0.47271957993507385
2026-06-05 09:40:17,9,10.88,40,0.47271957993507385
2026-06-05 09:40:18,9,8.4,63,0.47271957993507385
2026-06-05 09:40:19,9,8.97,41,0.47271957993507385
2026-06-05 09:42:56,9,5.54,72,0.47271957993507385
2026-06-05 09:44:16,9,11.93,64,0.4927883744239807
2026-06-05 09:44:25,9,9.6,67,0.47271957993507385
2026-06-05 09:44:27,9,9.23,45,0.47271957993507385
2026-06-05 09:44:29,9,10.96,58,0.48766857385635376
2026-06-05 09:44:31,9,5.85,49,0.47271957993507385
2026-06-05 09:44:33,9,10.04,77,0.47271957993507385
2026-06-05 09:44:36,9,9.15,50,0.47271957993507385
2026-06-05 09:44:37,9,8.47,56,0.47271957993507385
2026-06-05 09:44:38,9,6.43,48,0.47271957993507385
2026-06-05 09:44:38,9,9.08,60,0.47271957993507385
2026-06-05 09:44:39,9,5.31,54,0.47271957993507385
2026-06-05 09:44:43,9,9.3,70,0.47271957993507385
2026-06-05 09:44:47,9,11.9,41,0.4819996654987335
2026-06-05 09:44:52,9,10.84,66,0.47271957993507385
2026-06-05 09:44:56,9,10.71,40,0.47271957993507385
2026-06-05 09:45:00,9,7.71,66,0.47271957993507385
2026-06-05 09:45:04,9,5.59,76,0.47271957993507385
2026-06-05 10:02:23,10,9.77,72,0.47271957993507385
2026-06-05 10:02:25,10,10.54,74,0.47271957993507385
2026-06-05 10:02:27,10,7.85,71,0.47271957993507385
2026-06-05 10:02:29,10,9.42,69,0.47271957993507385
2026-06-05 10:02:31,10,10.6,51,0.47271957993507385
2026-06-05 10:02:37,10,11.93,65,0.4843449294567108
2026-06-05 10:02:38,10,10.9,57,0.48538580536842346
2026-06-05 10:02:38,10,9.57,54,0.47271957993507385
2026-06-05 10:02:41,10,6.29,56,0.47271957993507385
2026-06-05 10:02:42,10,6.88,56,0.47271957993507385
2026-06-05 10:02:47,10,8.05,58,0.47271957993507385
2026-06-05 10:02:51,10,8.26,68,0.47271957993507385
2026-06-05 10:02:56,10,10.63,79,0.47271957993507385
2026-06-05 10:03:00,10,10.13,63,0.47271957993507385
2026-06-05 10:03:05,10,10.82,48,0.47271957993507385
2026-06-05 10:03:09,10,11.46,68,0.47271957993507385
2026-06-05 10:03:14,10,11.04,46,0.47271957993507385
2026-06-05 10:03:18,10,7.92,52,0.47271957993507385
2026-06-05 10:03:23,10,8.59,47,0.47271957993507385
2026-06-05 10:03:28,10,11.74,76,0.47271957993507385
2026-06-05 10:03:33,10,6.05,77,0.47271957993507385
2026-06-05 10:03:37,10,6.79,41,0.47271957993507385
2026-06-05 10:03:42,10,6.24,42,0.47271957993507385
2026-06-05 10:03:47,10,10.69,57,0.4808642864227295
2026-06-05 10:03:51,10,5.05,63,0.47271957993507385
2026-06-05 10:03:56,10,10.94,71,0.47271957993507385
2026-06-05 10:04:01,10,11.53,40,0.47271957993507385
2026-06-05 10:04:05,10,7.31,74,0.47271957993507385
2026-06-05 10:04:09,10,7.63,50,0.47271957993507385
2026-06-05 10:04:14,10,11.75,66,0.4774227440357208
2026-06-05 10:04:18,10,8.12,76,0.47271957993507385
2026-06-05 10:04:22,10,10.05,70,0.47271957993507385
2026-06-05 10:04:26,10,8.29,61,0.47271957993507385
2026-06-05 10:04:30,10,11.32,69,0.47271957993507385
2026-06-05 10:04:34,10,8.99,49,0.47271957993507385
2026-06-05 10:04:39,10,6.67,40,0.47271957993507385
2026-06-05 10:04:43,10,6.56,50,0.47271957993507385
2026-06-05 10:04:47,10,8.62,52,0.47271957993507385
2026-06-05 10:04:51,10,9.62,42,0.47271957993507385
2026-06-05 10:04:55,10,11.2,60,0.4830893278121948
2026-06-05 10:05:00,10,9.64,64,0.47271957993507385
